update,rollout_success,rollout_avg_len,policy_loss,value_loss,entropy,kl,clip_frac,eval_reached,eval_optimal,eval_tasks,eval_avg_len
1,1.0,30.0,0.009671045156816641,0.02595120914823686,0.12504204114278158,0.01059473336984714,0.125,1,1,1,30.0
2,1.0,30.0,0.0008422369137406349,0.0036380941552730897,0.1419189969698588,0.003393211712439855,0.08658854166666667,,,,
3,1.0,30.0,8.915411308407784e-05,0.000919799223386993,0.13395872712135315,0.0002999325515702367,0.0,,,,
4,1.0,30.0,0.0007658881756166617,0.0005111406790092587,0.16097421447436014,0.0051920677069574594,0.08072916666666667,,,,
5,1.0,30.0,-0.0005838042125105858,0.0003222689750449111,0.1296603282292684,0.001571506882707278,0.026692708333333332,,,,
6,1.0,30.0,-0.00039542823409040767,0.00019785031812110296,0.09879015386104584,0.00011751843461145957,0.0,,,,
7,1.0,30.0,-0.0006636511534452438,0.00041990102423975867,0.08959881712992986,0.0011971950298175216,0.015625,,,,
8,1.0,30.0,0.00016358386104305586,0.000324266812337252,0.14510551591714224,0.0022338376147672534,0.059244791666666664,,,,
9,1.0,30.0,-0.00034009354809919995,0.00029352057026699185,0.10645606865485509,4.625584309299787e-05,0.0,,,,
10,1.0,30.0,4.5165730019410454e-05,0.0003010872460436076,0.1405941198269526,3.9836003755529724e-05,0.0,1,1,1,30.0
11,1.0,30.0,-0.0024491623044013977,0.0004613313115745162,0.11095809191465378,0.003970890267131229,0.06380208333333333,,,,
12,1.0,30.0,-0.000913769006729126,0.000476011560143282,0.08564611772696178,0.0014950481709092855,0.0234375,,,,
13,1.0,30.0,-0.000477283572157224,0.00026458781212568283,0.10632537802060445,0.0009255258676906427,0.013671875,,,,
14,1.0,30.0,-0.0010178877661625545,0.00038540638828029233,0.08861277004082997,0.0005822016779954234,0.007161458333333333,,,,
15,1.0,30.11764705882353,-0.0020419893165429435,0.002975629332164923,0.06236844634016355,0.0003652232699096203,0.005859375,,,,
16,1.0,30.0,-9.779911488294601e-05,0.0003268170209291081,0.05742533629139265,9.352186073859533e-06,0.0,,,,
17,1.0,30.0,-0.00010494592910011609,0.00031169432137782377,0.0614151768386364,3.6141136661171913e-06,0.0,,,,
18,1.0,30.0,-1.3514305464923382e-05,0.00019462670995077738,0.06196629504362742,4.770983165750901e-05,0.0,,,,
19,1.0,30.11764705882353,-0.00018022830287615457,0.0012987374405687053,0.06845199316740036,0.0001906006752202908,0.004557291666666667,,,,
20,1.0,30.0,-0.000947228322426478,0.00022425422988211116,0.06111472472548485,0.0005318718419099847,0.005208333333333333,1,1,1,30.0
